city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
42.0,0.698,-1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0
6.0,0.924,-1.0,0.0,1.0,1.0,0.0,2.0,4.0,2.0,0.0,-1.0,1.0
93.0,0.6659999999999999,1.0,1.0,0.0,2.0,0.0,21.0,2.0,0.0,2.0,1.0,0.0
13.0,0.926,1.0,1.0,0.0,3.0,0.0,21.0,4.0,0.0,0.0,3.0,0.0
2.0,0.887,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,2.0,0.0
64.0,0.624,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0
11.0,0.55,-1.0,-1.0,0.0,-1.0,0.0,17.0,3.0,4.0,5.0,3.0,0.0
95.0,0.855,1.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0
64.0,0.624,1.0,0.0,1.0,2.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,6.0,4.0,0.0,4.0,1.0,0.0
69.0,0.848,1.0,0.0,0.0,1.0,-1.0,4.0,-1.0,-1.0,0.0,1.0,0.0
89.0,0.866,1.0,-1.0,2.0,2.0,-1.0,4.0,5.0,1.0,1.0,1.0,0.0
98.0,0.698,1.0,1.0,1.0,2.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0
5.0,0.92,1.0,1.0,0.0,3.0,3.0,21.0,3.0,1.0,0.0,1.0,0.0
64.0,0.624,1.0,0.0,-1.0,1.0,1.0,-1.0,4.0,-1.0,0.0,2.0,1.0
112.0,0.923,2.0,1.0,0.0,3.0,0.0,21.0,3.0,0.0,4.0,1.0,0.0
64.0,0.624,-1.0,1.0,0.0,2.0,0.0,7.0,-1.0,-1.0,2.0,1.0,1.0
89.0,0.866,1.0,1.0,0.0,-1.0,0.0,21.0,3.0,-1.0,0.0,-1.0,0.0
30.0,0.897,1.0,1.0,0.0,3.0,0.0,7.0,2.0,4.0,2.0,1.0,0.0
13.0,0.926,1.0,1.0,0.0,3.0,0.0,16.0,5.0,0.0,1.0,1.0,0.0
49.0,0.92,1.0,0.0,1.0,2.0,0.0,10.0,6.0,0.0,1.0,1.0,0.0
95.0,0.855,1.0,-1.0,0.0,3.0,0.0,9.0,-1.0,-1.0,5.0,2.0,1.0
18.0,0.64,1.0,0.0,1.0,2.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0
64.0,0.624,1.0,1.0,0.0,2.0,0.0,6.0,6.0,1.0,4.0,2.0,1.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,18.0,2.0,1.0,1.0,-1.0,0.0
13.0,0.926,1.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0
29.0,0.698,1.0,1.0,0.0,3.0,0.0,21.0,7.0,0.0,5.0,4.0,0.0
0.0,0.847,1.0,1.0,1.0,2.0,0.0,10.0,7.0,0.0,1.0,1.0,0.0
78.0,0.8270000000000001,1.0,0.0,1.0,1.0,1.0,8.0,3.0,0.0,2.0,5.0,0.0
64.0,0.624,1.0,1.0,0.0,3.0,0.0,6.0,3.0,1.0,2.0,2.0,1.0
5.0,0.92,2.0,1.0,0.0,2.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0
95.0,0.855,-1.0,1.0,0.0,3.0,0.0,-1.0,-1.0,0.0,1.0,2.0,0.0
5.0,0.92,1.0,1.0,0.0,-1.0,0.0,8.0,5.0,0.0,-1.0,2.0,0.0
5.0,0.92,1.0,-1.0,0.0,2.0,0.0,15.0,2.0,0.0,3.0,1.0,0.0
100.0,0.795,1.0,-1.0,0.0,-1.0,0.0,16.0,4.0,1.0,-1.0,1.0,1.0
49.0,0.92,1.0,1.0,0.0,3.0,0.0,18.0,5.0,0.0,4.0,3.0,0.0
49.0,0.92,1.0,1.0,0.0,2.0,0.0,4.0,-1.0,0.0,1.0,2.0,0.0
36.0,0.727,1.0,1.0,0.0,2.0,0.0,9.0,-1.0,0.0,4.0,-1.0,0.0
5.0,0.92,1.0,1.0,0.0,3.0,0.0,21.0,3.0,0.0,1.0,2.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,-1.0,-1.0,1.0,0.0,4.0,-1.0,1.0
99.0,0.884,1.0,0.0,1.0,2.0,0.0,5.0,3.0,1.0,1.0,2.0,0.0
11.0,0.55,1.0,1.0,0.0,2.0,0.0,8.0,1.0,3.0,1.0,-1.0,1.0
5.0,0.92,1.0,1.0,0.0,2.0,2.0,21.0,4.0,0.0,5.0,2.0,0.0
1.0,0.895,0.0,0.0,1.0,3.0,0.0,3.0,4.0,0.0,2.0,3.0,0.0
101.0,0.754,1.0,1.0,0.0,2.0,0.0,14.0,3.0,0.0,5.0,2.0,0.0
5.0,0.92,1.0,0.0,0.0,2.0,0.0,8.0,4.0,0.0,3.0,3.0,0.0
99.0,0.884,1.0,-1.0,0.0,-1.0,0.0,-1.0,5.0,0.0,1.0,2.0,0.0
112.0,0.923,1.0,1.0,0.0,2.0,0.0,14.0,0.0,1.0,1.0,2.0,0.0
64.0,0.624,1.0,1.0,0.0,2.0,0.0,11.0,4.0,0.0,1.0,1.0,0.0
13.0,0.926,1.0,1.0,1.0,1.0,1.0,6.0,5.0,0.0,2.0,1.0,0.0
48.0,0.91,2.0,1.0,0.0,2.0,0.0,13.0,5.0,0.0,5.0,1.0,0.0
6.0,0.924,1.0,1.0,0.0,2.0,0.0,15.0,2.0,0.0,5.0,1.0,0.0
75.0,0.794,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0
109.0,0.847,1.0,0.0,2.0,2.0,0.0,9.0,6.0,0.0,5.0,1.0,0.0
64.0,0.624,1.0,1.0,0.0,2.0,0.0,9.0,3.0,0.0,1.0,1.0,1.0
13.0,0.926,1.0,1.0,0.0,3.0,0.0,15.0,3.0,1.0,1.0,3.0,0.0
1.0,0.895,1.0,1.0,2.0,-1.0,0.0,6.0,1.0,5.0,5.0,1.0,1.0
30.0,0.897,1.0,1.0,0.0,4.0,0.0,-1.0,4.0,0.0,5.0,2.0,0.0
99.0,0.884,1.0,1.0,0.0,3.0,0.0,16.0,5.0,0.0,5.0,3.0,0.0
13.0,0.926,2.0,1.0,0.0,3.0,0.0,21.0,4.0,0.0,1.0,3.0,0.0
48.0,0.91,1.0,1.0,0.0,4.0,0.0,21.0,7.0,0.0,1.0,1.0,0.0
91.0,0.913,1.0,1.0,0.0,2.0,0.0,21.0,0.0,1.0,1.0,1.0,0.0
5.0,0.92,-1.0,0.0,0.0,-1.0,-1.0,11.0,7.0,0.0,1.0,1.0,0.0
5.0,0.92,2.0,1.0,0.0,2.0,-1.0,7.0,5.0,1.0,1.0,1.0,0.0
3.0,0.5579999999999999,1.0,1.0,0.0,2.0,0.0,12.0,5.0,0.0,2.0,2.0,0.0
13.0,0.926,1.0,1.0,0.0,-1.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0
64.0,0.624,1.0,0.0,0.0,3.0,0.0,8.0,5.0,5.0,1.0,1.0,0.0
2.0,0.887,1.0,1.0,0.0,3.0,0.0,5.0,5.0,0.0,2.0,1.0,0.0
64.0,0.624,-1.0,1.0,-1.0,2.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0
13.0,0.926,1.0,0.0,1.0,-1.0,0.0,7.0,4.0,0.0,2.0,5.0,0.0
5.0,0.92,1.0,1.0,0.0,3.0,-1.0,21.0,5.0,0.0,5.0,3.0,0.0
13.0,0.926,1.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0
21.0,0.738,1.0,1.0,1.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0
45.0,0.769,1.0,-1.0,0.0,-1.0,4.0,-1.0,4.0,0.0,1.0,1.0,0.0
95.0,0.855,1.0,0.0,2.0,2.0,0.0,14.0,2.0,0.0,5.0,1.0,0.0
5.0,0.92,1.0,0.0,-1.0,4.0,0.0,14.0,-1.0,0.0,1.0,1.0,0.0
49.0,0.92,1.0,1.0,0.0,2.0,0.0,14.0,5.0,0.0,5.0,2.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0
5.0,0.92,1.0,1.0,2.0,2.0,0.0,6.0,4.0,4.0,2.0,3.0,0.0
5.0,0.92,1.0,1.0,0.0,3.0,5.0,21.0,4.0,0.0,5.0,2.0,0.0
78.0,0.8270000000000001,1.0,1.0,0.0,3.0,0.0,21.0,3.0,0.0,5.0,1.0,0.0
31.0,0.836,1.0,-1.0,0.0,3.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0
48.0,0.91,1.0,1.0,0.0,-1.0,0.0,10.0,4.0,0.0,-1.0,1.0,0.0
99.0,0.884,1.0,1.0,0.0,3.0,0.0,6.0,6.0,0.0,3.0,1.0,0.0
5.0,0.92,2.0,1.0,0.0,3.0,5.0,12.0,1.0,0.0,1.0,1.0,0.0
30.0,0.897,1.0,1.0,0.0,3.0,0.0,7.0,2.0,0.0,4.0,1.0,0.0
48.0,0.91,-1.0,1.0,0.0,3.0,4.0,10.0,0.0,-1.0,-1.0,3.0,0.0
5.0,0.92,1.0,1.0,1.0,2.0,0.0,7.0,0.0,5.0,1.0,1.0,0.0
5.0,0.92,-1.0,1.0,0.0,3.0,3.0,2.0,4.0,5.0,1.0,1.0,0.0
113.0,0.698,1.0,1.0,0.0,2.0,0.0,6.0,3.0,1.0,1.0,1.0,1.0
48.0,0.91,-1.0,1.0,-1.0,-1.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0
55.0,0.878,1.0,1.0,0.0,3.0,0.0,13.0,4.0,0.0,3.0,1.0,0.0
24.0,0.527,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0
67.0,0.698,1.0,1.0,0.0,2.0,0.0,6.0,5.0,0.0,1.0,5.0,0.0
4.0,0.804,1.0,1.0,1.0,1.0,0.0,6.0,4.0,1.0,1.0,2.0,0.0
64.0,0.624,1.0,-1.0,-1.0,2.0,0.0,6.0,5.0,1.0,4.0,1.0,1.0
13.0,0.926,1.0,1.0,2.0,2.0,0.0,10.0,2.0,4.0,1.0,1.0,0.0
5.0,0.92,-1.0,0.0,0.0,1.0,0.0,11.0,-1.0,0.0,3.0,3.0,0.0
5.0,0.92,-1.0,1.0,0.0,3.0,2.0,21.0,4.0,0.0,1.0,4.0,1.0
64.0,0.624,-1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,-1.0,-1.0,0.0
101.0,0.754,1.0,1.0,0.0,2.0,0.0,10.0,2.0,0.0,1.0,1.0,0.0
49.0,0.92,1.0,1.0,0.0,-1.0,0.0,7.0,1.0,0.0,2.0,-1.0,0.0
99.0,0.884,1.0,1.0,0.0,3.0,0.0,8.0,6.0,0.0,2.0,4.0,0.0
5.0,0.92,1.0,-1.0,0.0,2.0,3.0,1.0,5.0,4.0,-1.0,1.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,21.0,3.0,0.0,1.0,2.0,0.0
5.0,0.92,1.0,1.0,1.0,2.0,0.0,7.0,1.0,4.0,1.0,1.0,1.0
5.0,0.92,1.0,0.0,0.0,2.0,5.0,20.0,3.0,1.0,5.0,2.0,0.0
101.0,0.754,1.0,1.0,0.0,3.0,0.0,15.0,3.0,4.0,5.0,1.0,1.0
48.0,0.91,1.0,1.0,0.0,-1.0,0.0,21.0,1.0,0.0,-1.0,1.0,0.0
64.0,0.624,1.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0
13.0,0.926,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
13.0,0.926,1.0,1.0,0.0,3.0,0.0,9.0,5.0,0.0,1.0,3.0,1.0
50.0,0.767,-1.0,1.0,1.0,-1.0,0.0,21.0,4.0,4.0,5.0,1.0,0.0
64.0,0.624,1.0,1.0,0.0,3.0,1.0,19.0,4.0,0.0,5.0,4.0,1.0
64.0,0.624,1.0,0.0,1.0,1.0,0.0,4.0,-1.0,0.0,0.0,2.0,1.0
5.0,0.92,1.0,0.0,1.0,2.0,0.0,9.0,5.0,1.0,1.0,4.0,0.0
64.0,0.624,-1.0,1.0,0.0,2.0,0.0,2.0,-1.0,-1.0,2.0,1.0,0.0
53.0,0.921,1.0,1.0,0.0,2.0,0.0,7.0,1.0,0.0,5.0,4.0,0.0
97.0,0.647,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,5.0,-1.0,-1.0,1.0,3.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,9.0,4.0,1.0,3.0,2.0,1.0
57.0,0.764,1.0,1.0,1.0,2.0,0.0,6.0,1.0,-1.0,1.0,1.0,0.0
89.0,0.866,1.0,1.0,0.0,2.0,5.0,9.0,2.0,1.0,2.0,1.0,0.0
116.0,0.698,1.0,1.0,-1.0,3.0,0.0,10.0,-1.0,5.0,-1.0,1.0,1.0
13.0,0.926,1.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0
64.0,0.624,1.0,1.0,0.0,2.0,0.0,6.0,5.0,1.0,1.0,1.0,1.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,21.0,4.0,0.0,2.0,3.0,1.0
2.0,0.887,1.0,0.0,1.0,1.0,0.0,7.0,3.0,1.0,1.0,1.0,0.0
5.0,0.92,1.0,1.0,0.0,-1.0,0.0,-1.0,5.0,0.0,5.0,2.0,0.0
64.0,0.624,2.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,3.0,1.0
64.0,0.624,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0
13.0,0.926,1.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,-1.0,3.0,0.0
2.0,0.887,1.0,1.0,2.0,2.0,0.0,21.0,4.0,1.0,1.0,2.0,1.0
99.0,0.884,1.0,1.0,0.0,3.0,0.0,12.0,4.0,1.0,5.0,1.0,1.0
13.0,0.926,1.0,0.0,0.0,3.0,0.0,11.0,3.0,2.0,0.0,1.0,1.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,7.0,2.0,0.0,5.0,2.0,0.0
5.0,0.92,1.0,-1.0,2.0,3.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0
64.0,0.624,1.0,1.0,1.0,2.0,0.0,7.0,2.0,0.0,4.0,2.0,0.0
48.0,0.91,1.0,1.0,0.0,2.0,0.0,21.0,6.0,0.0,1.0,1.0,0.0
48.0,0.91,1.0,1.0,0.0,-1.0,0.0,21.0,5.0,5.0,-1.0,2.0,0.0
41.0,0.6890000000000001,1.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0
116.0,0.698,1.0,1.0,1.0,2.0,0.0,7.0,5.0,1.0,1.0,3.0,0.0
61.0,0.682,1.0,1.0,0.0,2.0,0.0,21.0,2.0,0.0,-1.0,1.0,0.0
93.0,0.6659999999999999,1.0,1.0,0.0,2.0,0.0,16.0,4.0,0.0,4.0,3.0,1.0
5.0,0.92,1.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0
5.0,0.92,-1.0,-1.0,0.0,-1.0,0.0,21.0,4.0,0.0,5.0,1.0,0.0
48.0,0.91,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
87.0,0.856,1.0,1.0,0.0,2.0,0.0,9.0,2.0,0.0,1.0,1.0,0.0
1.0,0.895,0.0,1.0,0.0,2.0,0.0,16.0,1.0,0.0,1.0,1.0,0.0
48.0,0.91,1.0,1.0,0.0,2.0,0.0,10.0,5.0,0.0,4.0,1.0,0.0
48.0,0.91,2.0,1.0,1.0,2.0,0.0,5.0,3.0,4.0,1.0,3.0,0.0
64.0,0.624,1.0,1.0,0.0,2.0,0.0,9.0,3.0,0.0,0.0,1.0,1.0
5.0,0.92,1.0,1.0,0.0,3.0,0.0,21.0,5.0,0.0,5.0,3.0,0.0
64.0,0.624,1.0,0.0,-1.0,2.0,-1.0,0.0,5.0,0.0,1.0,1.0,0.0
11.0,0.55,1.0,0.0,-1.0,-1.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0
5.0,0.92,-1.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,-1.0,1.0,0.0
5.0,0.92,1.0,-1.0,0.0,3.0,0.0,19.0,3.0,0.0,1.0,-1.0,0.0
91.0,0.913,1.0,1.0,0.0,-1.0,0.0,-1.0,5.0,1.0,-1.0,2.0,0.0
41.0,0.6890000000000001,-1.0,0.0,0.0,2.0,0.0,3.0,-1.0,4.0,1.0,2.0,0.0
5.0,0.92,2.0,1.0,0.0,2.0,5.0,5.0,4.0,1.0,2.0,2.0,0.0
49.0,0.92,1.0,1.0,0.0,2.0,0.0,10.0,0.0,-1.0,2.0,2.0,0.0
5.0,0.92,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0
5.0,0.92,0.0,1.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0
39.0,0.555,1.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0
64.0,0.624,1.0,0.0,1.0,2.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0
116.0,0.698,1.0,1.0,0.0,2.0,0.0,-1.0,0.0,-1.0,1.0,2.0,0.0
116.0,0.698,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0
101.0,0.754,1.0,1.0,0.0,2.0,0.0,15.0,2.0,0.0,4.0,2.0,0.0
95.0,0.855,1.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0
49.0,0.92,1.0,1.0,0.0,3.0,0.0,14.0,2.0,0.0,1.0,4.0,0.0
5.0,0.92,1.0,1.0,0.0,3.0,3.0,-1.0,-1.0,-1.0,4.0,1.0,1.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,11.0,3.0,0.0,1.0,1.0,0.0
13.0,0.926,1.0,1.0,0.0,2.0,0.0,11.0,0.0,2.0,0.0,1.0,1.0
5.0,0.92,1.0,1.0,0.0,2.0,5.0,16.0,1.0,0.0,3.0,2.0,0.0
73.0,0.4479999999999999,1.0,1.0,2.0,2.0,0.0,10.0,5.0,5.0,5.0,1.0,1.0
55.0,0.878,1.0,0.0,1.0,2.0,0.0,7.0,4.0,1.0,1.0,2.0,1.0
5.0,0.92,-1.0,1.0,0.0,-1.0,0.0,-1.0,4.0,4.0,1.0,2.0,0.0
83.0,0.762,1.0,0.0,0.0,-1.0,3.0,1.0,4.0,1.0,-1.0,1.0,0.0
2.0,0.887,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0
5.0,0.92,1.0,-1.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,1.0,0.0
5.0,0.92,1.0,1.0,0.0,3.0,0.0,21.0,3.0,5.0,5.0,3.0,0.0
94.0,0.802,1.0,1.0,1.0,2.0,0.0,9.0,4.0,0.0,1.0,3.0,0.0
13.0,0.926,1.0,1.0,0.0,2.0,5.0,18.0,3.0,0.0,5.0,5.0,0.0
64.0,0.624,1.0,0.0,1.0,2.0,0.0,9.0,3.0,0.0,0.0,2.0,1.0
116.0,0.698,1.0,0.0,1.0,2.0,0.0,4.0,3.0,3.0,2.0,-1.0,1.0
64.0,0.624,1.0,1.0,0.0,2.0,0.0,17.0,7.0,0.0,2.0,1.0,1.0
11.0,0.55,1.0,1.0,1.0,3.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0
61.0,0.682,1.0,1.0,0.0,2.0,0.0,15.0,4.0,1.0,1.0,1.0,0.0
64.0,0.624,1.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0
5.0,0.92,1.0,0.0,0.0,2.0,0.0,-1.0,5.0,0.0,3.0,1.0,0.0
64.0,0.624,1.0,1.0,0.0,2.0,0.0,5.0,3.0,0.0,1.0,1.0,1.0
48.0,0.91,1.0,1.0,0.0,2.0,0.0,21.0,5.0,1.0,1.0,2.0,0.0
48.0,0.91,1.0,0.0,0.0,1.0,0.0,-1.0,3.0,0.0,0.0,1.0,0.0
31.0,0.836,1.0,0.0,0.0,1.0,0.0,9.0,4.0,0.0,0.0,1.0,0.0
48.0,0.91,1.0,0.0,-1.0,0.0,1.0,-1.0,4.0,1.0,0.0,2.0,0.0
49.0,0.92,1.0,0.0,0.0,2.0,3.0,14.0,6.0,0.0,1.0,1.0,0.0
95.0,0.855,1.0,1.0,1.0,2.0,0.0,6.0,5.0,0.0,2.0,1.0,0.0
5.0,0.92,1.0,-1.0,0.0,-1.0,0.0,9.0,3.0,0.0,-1.0,1.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,21.0,-1.0,1.0,-1.0,4.0,0.0
5.0,0.92,1.0,0.0,-1.0,2.0,3.0,5.0,3.0,4.0,2.0,-1.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,7.0,3.0,0.0,5.0,3.0,0.0
64.0,0.624,1.0,-1.0,2.0,-1.0,0.0,14.0,5.0,-1.0,1.0,3.0,1.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,9.0,6.0,0.0,2.0,1.0,0.0
26.0,0.8270000000000001,1.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0
64.0,0.624,1.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0
13.0,0.926,1.0,1.0,1.0,3.0,0.0,16.0,7.0,4.0,2.0,1.0,0.0
93.0,0.6659999999999999,2.0,0.0,1.0,2.0,0.0,5.0,4.0,1.0,1.0,1.0,0.0
48.0,0.91,1.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0
98.0,0.698,1.0,1.0,0.0,2.0,0.0,7.0,5.0,2.0,2.0,4.0,1.0
48.0,0.91,1.0,0.0,1.0,2.0,0.0,21.0,-1.0,0.0,2.0,1.0,1.0
64.0,0.624,1.0,1.0,0.0,-1.0,0.0,11.0,3.0,0.0,5.0,-1.0,1.0
13.0,0.926,1.0,1.0,0.0,3.0,0.0,-1.0,4.0,0.0,1.0,1.0,0.0
113.0,0.698,1.0,1.0,1.0,1.0,0.0,4.0,5.0,0.0,1.0,3.0,0.0
48.0,0.91,1.0,1.0,0.0,2.0,-1.0,14.0,0.0,2.0,1.0,1.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0
30.0,0.897,1.0,1.0,0.0,4.0,0.0,21.0,4.0,0.0,5.0,2.0,0.0
7.0,0.794,1.0,1.0,0.0,2.0,1.0,10.0,2.0,0.0,2.0,1.0,0.0
99.0,0.884,1.0,1.0,0.0,2.0,0.0,6.0,1.0,2.0,1.0,2.0,0.0
82.0,0.89,1.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0
64.0,0.624,1.0,0.0,0.0,2.0,0.0,8.0,4.0,0.0,0.0,1.0,1.0
64.0,0.624,1.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,-1.0,5.0,0.0
5.0,0.92,1.0,1.0,0.0,2.0,0.0,5.0,5.0,0.0,1.0,2.0,0.0
66.0,0.698,1.0,0.0,1.0,2.0,0.0,5.0,3.0,1.0,0.0,1.0,1.0
93.0,0.6659999999999999,1.0,-1.0,0.0,2.0,0.0,4.0,-1.0,0.0,-1.0,1.0,0.0
48.0,0.91,1.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,-1.0,5.0,0.0
48.0,0.91,1.0,1.0,0.0,2.0,0.0,5.0,5.0,0.0,3.0,1.0,0.0
94.0,0.802,-1.0,-1.0,0.0,2.0,0.0,3.0,-1.0,0.0,1.0,1.0,1.0
5.0,0.92,1.0,1.0,0.0,3.0,0.0,18.0,6.0,0.0,5.0,-1.0,1.0
65.0,0.899,2.0,-1.0,1.0,1.0,0.0,2.0,7.0,0.0,1.0,-1.0,0.0
64.0,0.624,1.0,1.0,0.0,3.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0
13.0,0.926,1.0,1.0,0.0,3.0,0.0,21.0,2.0,0.0,5.0,2.0,0.0
5.0,0.92,1.0,1.0,0.0,3.0,0.0,21.0,3.0,3.0,5.0,4.0,0.0
69.0,0.848,1.0,1.0,-1.0,1.0,1.0,2.0,2.0,0.0,1.0,-1.0,0.0
48.0,0.91,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0
49.0,0.92,1.0,1.0,0.0,2.0,0.0,21.0,6.0,1.0,5.0,2.0,0.0
64.0,0.624,1.0,-1.0,1.0,2.0,0.0,-1.0,2.0,1.0,0.0,-1.0,0.0
